"0";"1";"p";"test"
"n";"87137";"87034";"";""
"age (mean (SD))";"64.64 (15.09)";"64.70 (15.09)";" 0.419";""
"age_group (%)";"";"";" 0.959";""
"   18-49";"14774 ( 17.0) ";"14768 ( 17.0) ";"";""
"   50-59";"14911 ( 17.1) ";"14956 ( 17.2) ";"";""
"   60-69";"21789 ( 25.0) ";"21751 ( 25.0) ";"";""
"   70-79";"22406 ( 25.7) ";"22426 ( 25.8) ";"";""
"   80-115";"13257 ( 15.2) ";"13133 ( 15.1) ";"";""
"gender_concept_id = F (%)";"44278 ( 50.8) ";"44145 ( 50.7) ";" 0.702";""
"medea_group_2001 (%)";"";"";"<0.001";""
"   0N";"10556 ( 12.1) ";" 9898 ( 11.4) ";"";""
"   R";"12630 ( 14.5) ";"12819 ( 14.7) ";"";""
"   U1";"13287 ( 15.2) ";"14319 ( 16.5) ";"";""
"   U2";"13098 ( 15.0) ";"13562 ( 15.6) ";"";""
"   U3";"12882 ( 14.8) ";"12842 ( 14.8) ";"";""
"   U4";"12950 ( 14.9) ";"12660 ( 14.5) ";"";""
"   U5";"11734 ( 13.5) ";"10934 ( 12.6) ";"";""
"aga_name (%)";"";"";" 1.000";""
"   Alt Camp i Conca de Barberà";"  735 (  0.8) ";"  724 (  0.8) ";"";""
"   Alt Empordà";" 1455 (  1.7) ";" 1445 (  1.7) ";"";""
"   Alt Maresme";" 1103 (  1.3) ";" 1111 (  1.3) ";"";""
"   Alt Penedès";" 1287 (  1.5) ";" 1293 (  1.5) ";"";""
"   Alt Urgell";"  208 (  0.2) ";"  206 (  0.2) ";"";""
"   Alta Ribagorça";"   17 (  0.0) ";"   18 (  0.0) ";"";""
"   Altebrat";"  488 (  0.6) ";"  484 (  0.6) ";"";""
"   Anoia";" 1266 (  1.5) ";" 1276 (  1.5) ";"";""
"   Bages i Solsonès";" 2590 (  3.0) ";" 2549 (  2.9) ";"";""
"   Baix Camp i Priorat";" 1659 (  1.9) ";" 1640 (  1.9) ";"";""
"   Baix Ebre";" 1224 (  1.4) ";" 1200 (  1.4) ";"";""
"   Baix Empordà";"  409 (  0.5) ";"  405 (  0.5) ";"";""
"   Baix Llobregat Centre i Fontsanta -L'H N";" 5927 (  6.8) ";" 5909 (  6.8) ";"";""
"   Baix Llobregat Litoral i Sant Boi";" 1826 (  2.1) ";" 1820 (  2.1) ";"";""
"   Baix Llobregat Litoral i Viladecans";" 2413 (  2.8) ";" 2439 (  2.8) ";"";""
"   Baix Llobregat Nord";" 1780 (  2.0) ";" 1774 (  2.0) ";"";""
"   Baix Montseny";"  708 (  0.8) ";"  698 (  0.8) ";"";""
"   Baix Penedès";"    4 (  0.0) ";"    4 (  0.0) ";"";""
"   Baix Vallès";" 2562 (  2.9) ";" 2567 (  2.9) ";"";""
"   Barcelona Dreta";" 4461 (  5.1) ";" 4469 (  5.1) ";"";""
"   Barcelona Esquerra";" 6271 (  7.2) ";" 6283 (  7.2) ";"";""
"   Barcelona Litoral Mar";" 3851 (  4.4) ";" 3862 (  4.4) ";"";""
"   Barcelona Nord";" 6316 (  7.2) ";" 6335 (  7.3) ";"";""
"   Barcelonès Nord i Baix Maresme";" 4909 (  5.6) ";" 4900 (  5.6) ";"";""
"   Berguedà";"  521 (  0.6) ";"  517 (  0.6) ";"";""
"   Garraf";" 2115 (  2.4) ";" 2142 (  2.5) ";"";""
"   Garrotxa";"  485 (  0.6) ";"  493 (  0.6) ";"";""
"   Gironès Nord i Pla de l'Estany";" 2079 (  2.4) ";" 2087 (  2.4) ";"";""
"   Gironès Sud i Selva Interior";" 1152 (  1.3) ";" 1137 (  1.3) ";"";""
"   L'Hospitalet Sud i el Prat de Llobregat";" 3536 (  4.1) ";" 3522 (  4.0) ";"";""
"   Lleida";" 5126 (  5.9) ";" 5102 (  5.9) ";"";""
"   Maresme Central";" 3135 (  3.6) ";" 3146 (  3.6) ";"";""
"   Montsià";"  897 (  1.0) ";"  899 (  1.0) ";"";""
"   Osona";" 1527 (  1.8) ";" 1548 (  1.8) ";"";""
"   Pallars";"  213 (  0.2) ";"  214 (  0.2) ";"";""
"   Ripollès";"  180 (  0.2) ";"  182 (  0.2) ";"";""
"   Selva Marítima";"  502 (  0.6) ";"  514 (  0.6) ";"";""
"   Tarragonès";" 2446 (  2.8) ";" 2422 (  2.8) ";"";""
"   Vallès Occidental Est";" 6123 (  7.0) ";" 6090 (  7.0) ";"";""
"   Vallès Occidental Oest";"  355 (  0.4) ";"  352 (  0.4) ";"";""
"   Vallès Oriental Central";" 3246 (  3.7) ";" 3228 (  3.7) ";"";""
"   NA";"   30 (  0.0) ";"   28 (  0.0) ";"";""
"vac_concept_id_1 (%)";"";"";"<0.001";""
"   Pfizer-mRNA-BNT162b";"39746 ( 45.6) ";"50460 ( 58.0) ";"";""
"   Moderna-mRNA-1273";" 9569 ( 11.0) ";"17051 ( 19.6) ";"";""
"   AZ-ChAdOx1";" 9504 ( 10.9) ";"16305 ( 18.7) ";"";""
"   Jansen-Ad26";" 4222 (  4.8) ";" 3218 (  3.7) ";"";""
"   NA";"24096 ( 27.7) ";"    0 (  0.0) ";"";""
"vac_concept_id_2 (%)";"";"";"   NaN";""
"   Pfizer-mRNA-BNT162b";"38989 ( 44.7) ";"50281 ( 57.8) ";"";""
"   Moderna-mRNA-1273";" 9202 ( 10.6) ";"16719 ( 19.2) ";"";""
"   AZ-ChAdOx1";" 9216 ( 10.6) ";"15830 ( 18.2) ";"";""
