"0";"1";"p";"test"
"n";"54267";"54267";"";""
"outcome_covid_status (%)";"";"";"<0.001";""
"   0";"49681 (91.5) ";"51256 (94.5) ";"";""
"   1";"  748 ( 1.4) ";"  180 ( 0.3) ";"";""
"   2";" 3838 ( 7.1) ";" 2831 ( 5.2) ";"";""
"outcome_hosp_status (%)";"";"";"<0.001";""
"   0";"53018 (97.7) ";"53921 (99.4) ";"";""
"   1";"  908 ( 1.7) ";"  209 ( 0.4) ";"";""
"   2";"  341 ( 0.6) ";"  137 ( 0.3) ";"";""
"outcome_hosp_severe_status (%)";"";"";"<0.001";""
"   0";"53220 (98.1) ";"54023 (99.6) ";"";""
"   1";" 1017 ( 1.9) ";"  236 ( 0.4) ";"";""
"   2";"   30 ( 0.1) ";"    8 ( 0.0) ";"";""
"outcome_death_status (%)";"";"";"<0.001";""
"   0";"53247 (98.1) ";"54026 (99.6) ";"";""
"   1";"  748 ( 1.4) ";"  180 ( 0.3) ";"";""
"   2";"  272 ( 0.5) ";"   61 ( 0.1) ";"";""
"outcome_hosp_death_status (%)";"";"";"<0.001";""
"   0";"53018 (97.7) ";"53921 (99.4) ";"";""
"   1";"  748 ( 1.4) ";"  180 ( 0.3) ";"";""
"   2";"  501 ( 0.9) ";"  166 ( 0.3) ";"";""
"outcome_covid_time (median [IQR])";"15.00 [6.00, 35.00]";"16.00 [7.00, 43.00]";"<0.001";"nonnorm"
"outcome_hosp_time (median [IQR])";"16.00 [7.00, 38.00]";"16.00 [7.00, 45.00]";"<0.001";"nonnorm"
"outcome_hosp_severe_time (median [IQR])";"16.00 [7.00, 39.00]";"16.00 [7.00, 45.00]";"<0.001";"nonnorm"
"outcome_death_time (median [IQR])";"16.00 [7.00, 40.00]";"16.00 [7.00, 46.00]";"<0.001";"nonnorm"
"outcome_hosp_death_time (median [IQR])";"16.00 [7.00, 40.00]";"16.00 [7.00, 46.00]";"<0.001";"nonnorm"
"tx_group (mean (SD))";" 0.00 (0.00)";" 1.00 (0.00)";"<0.001";""
